POP_SIZE,mut_prob,xo_prob,mutation,crossover,selection_algorithm,elitism,median_fitness,mean_fitness,std_fitness,min_fitness,max_fitness
50,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.10690449676496672,0.08733092388878658,0.028437367712050958,0.05714285714285552,0.16659862556700822
50,0.1,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.08202367695391112,0.09062675038327003,0.03620223251096252,0.05714285714285552,0.16659862556700822
50,0.1,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.10690449676496672,0.09502420582297821,0.043066855576052235,0.05714285714285552,0.22857142857142845
50,0.1,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.09261148926563742,0.048036088490810445,0.05714285714285552,0.24578072191550127
50,0.1,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.08035414755967876,0.029835377414527634,0.05714285714285552,0.13997084244475427
50,0.3,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.0604602997843296,0.012412733764670348,0.05714285714285552,0.10690449676496672
50,0.3,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06211902110506665,0.014928491886633363,0.05714285714285552,0.10690449676496672
50,0.3,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06211902110506665,0.014928491886633363,0.05714285714285552,0.10690449676496672
50,0.3,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06653867526920014,0.021692484345808023,0.05714285714285552,0.13997084244474906
50,0.3,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06322123262772623,0.01888960670922944,0.05714285714285552,0.13997084244475427
50,0,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.22857142857142845,0.21203169659964155,0.08536660703261328,0.05714285714285552,0.37688302737922935
50,0,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.22857142857142707,0.22192810220509795,0.07910828991499978,0.10690449676496672,0.3979539507766878
50,0,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.24578072191550127,0.2418171511546335,0.06619371771248002,0.10690449676496672,0.3875617133214398
50,0,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.3428571428571435,0.35974933651384794,0.10085758083822823,0.20995626366712705,0.5525451315946773
50,0,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.23717607524346418,0.20374856154047422,0.0831979436034753,0.05714285714285552,0.31815796359028786
50,5,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.24578072191550127,0.2342488358319462,0.0706500423892936,0.10690449676496672,0.37688302737922585
50,5,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.19973884012943133,0.19664294860145531,0.06977797454291243,0.05714285714285552,0.3307381972225771
50,5,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.16659862556700822,0.18301785505117205,0.08395643167466407,0.05714285714285552,0.35456210417116735
50,5,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.15328473400587905,0.1548961917117795,0.06351677477281854,0.05714285714285552,0.30505937862946775
50,5,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.2694358729249188,0.2398108864029276,0.08516245372549007,0.05714285714285552,0.3875617133214431
50,0,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.16659862556700822,0.1991697825086455,0.08283724995650635,0.05714285714285552,0.39795395077669005
50,0,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.21926384611927952,0.23303269513502414,0.0745634533557685,0.10690449676496672,0.36589281356759074
50,0,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.22857142857142776,0.23457389548327207,0.06757902257724942,0.10690449676496672,0.4276179870598771
50,0,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.3713879204734096,0.3748791172158658,0.13148679297615212,0.16659862556700383,0.6845227743263365
50,0,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.19973884012943133,0.19352466725416945,0.06873917305628473,0.05714285714285552,0.29137254363387044
50,9,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.20995626366712977,0.21970716782890592,0.07114839237771935,0.10690449676496672,0.39795395077668777
50,9,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.20995626366712802,0.19982396460622628,0.08124651016472506,0.05714285714285552,0.3545621041711653
50,9,0.3,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.1895214165917356,0.18233944121607257,0.05670020468237599,0.05714285714285552,0.29137254363387044
50,9,0,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.16659862556700822,0.17246019977121552,0.056414976406085775,0.05714285714285552,0.30505937862946775
50,9,1,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.1895214165917356,0.1894633536912498,0.057335077199317824,0.05714285714285552,0.30505937862946775
100,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06543646374654073,0.018545068144481265,0.05714285714285552,0.10690449676496672
100,0.1,0.5,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.06543646374654073,0.018545068144481265,0.05714285714285552,0.10690449676496672
