POP_SIZE,mut_prob,xo_prob,mutation,crossover,selection_algorithm,elitism,median_fitness,mean_fitness,std_fitness,min_fitness,max_fitness
100,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,True,0.05714285714285552,0.058801578463592574,0.00893248768127677,0.05714285714285552,0.10690449676496672
100,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.05714285714285553,1.3877787807814457e-17,0.05714285714285552,0.05714285714285552
100,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,True,0.05714285714285552,0.05714285714285553,1.3877787807814457e-17,0.05714285714285552,0.05714285714285552
100,0.1,0.9,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,False,0.05714285714285552,0.05714285714285553,1.3877787807814457e-17,0.05714285714285552,0.05714285714285552
100,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,True,0.05714285714285552,0.06046029978432962,0.012412733764670348,0.05714285714285552,0.10690449676496672
100,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,False,0.05714285714285552,0.058801578463592574,0.00893248768127677,0.05714285714285552,0.10690449676496672
100,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,True,0.05714285714285552,0.05714285714285553,1.3877787807814457e-17,0.05714285714285552,0.05714285714285552
100,0.1,0.9,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,False,0.05714285714285552,0.05714285714285553,1.3877787807814457e-17,0.05714285714285552,0.05714285714285552
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,True,0.13997084244475427,0.14476861760213736,0.04033709671222184,0.05714285714285552,0.22857142857142845
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,False,0.12343766960485789,0.13249309834261289,0.0451377405977303,0.05714285714285552,0.22857142857142707
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,True,0.13997084244475427,0.1406929654078252,0.03781506684736179,0.05714285714285552,0.22857142857142845
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,False,0.16659862556700822,0.17002429629224938,0.048828840628541335,0.05714285714285552,0.24578072191550127
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,True,0.10690449676496672,0.09816003651045484,0.031254633740052114,0.05714285714285552,0.16659862556700386
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,False,0.10690449676496672,0.11434043725273696,0.046522678845352154,0.05714285714285552,0.22857142857142845
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,True,0.10690449676496672,0.10917076108612084,0.04107538314790828,0.05714285714285552,0.22857142857142707
100,0.1,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,False,0.1234376696048605,0.12758352626060868,0.04997953612219487,0.05714285714285552,0.24578072191550127
100,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,True,0.05714285714285552,0.07980844583509664,0.026560156350422415,0.05714285714285552,0.13997084244475427
100,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,False,0.05714285714285552,0.07406115332289029,0.027810950538296565,0.05714285714285552,0.16659862556700822
100,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,True,0.10690449676496672,0.08478460979730755,0.026508987232689282,0.05714285714285552,0.13997084244474906
100,0.1,0.9,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,False,0.05714285714285552,0.08367159020115267,0.029836579157052456,0.05714285714285552,0.13997084244475427
100,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,True,0.05714285714285552,0.0781497245143594,0.02636933155703268,0.05714285714285552,0.13997084244474906
100,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,False,0.05714285714285552,0.08367159020115283,0.029836579157052786,0.05714285714285552,0.13997084244475427
100,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,True,0.10690449676496672,0.09318387254824417,0.033356922283975216,0.05714285714285552,0.16659862556700822
100,0.1,0.9,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,False,0.05714285714285552,0.07373007035022593,0.023457861879837345,0.05714285714285552,0.10690449676496672
