POP_SIZE,max_gen,elitism,mut_prob,xo_prob,mutation,crossover,selection_algorithm,best_fitness,timestamp
50,50,True,0.2,0.7,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:48:55.334157
50,50,True,0.2,0.7,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:49:03.771003
50,50,True,0.2,0.7,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:49:06.666964
50,50,True,0.2,0.7,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.16659862556700822,2025-05-17 11:49:15.069059
50,50,True,0.2,0.7,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.16659862556700822,2025-05-17 11:49:17.583822
50,50,True,0.2,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.209956263667129,2025-05-17 11:49:26.126864
50,50,True,0.2,0.7,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:49:28.689842
50,50,True,0.2,0.7,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.10690449676496672,2025-05-17 11:49:37.311665
50,50,True,0.2,0.7,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 11:49:39.876014
50,50,True,0.2,0.7,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.1895214165917356,2025-05-17 11:49:48.123407
50,50,True,0.2,0.7,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.10690449676496672,2025-05-17 11:49:50.636723
50,50,True,0.2,0.8,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:49:59.473945
50,50,True,0.2,0.8,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:50:01.950521
50,50,True,0.2,0.8,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:50:10.643955
50,50,True,0.2,0.8,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:50:13.229037
50,50,True,0.2,0.8,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.16659862556700386,2025-05-17 11:50:21.613684
50,50,True,0.2,0.8,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.13997084244474906,2025-05-17 11:50:24.395228
50,50,True,0.2,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.10690449676496672,2025-05-17 11:50:32.989472
50,50,True,0.2,0.8,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.16659862556700822,2025-05-17 11:50:35.524535
50,50,True,0.2,0.8,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.10690449676496672,2025-05-17 11:50:44.246723
50,50,True,0.2,0.8,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:50:46.733085
50,50,True,0.2,0.8,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.10690449676496672,2025-05-17 11:50:55.032668
50,50,True,0.2,0.8,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:50:57.860616
50,50,True,0.2,0.9,single_player_swap_2teams,crossover_swap_whole_position,roulette_selection,0.05714285714285552,2025-05-17 11:51:06.246814
50,50,True,0.2,0.9,single_player_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:51:08.727234
50,50,True,0.2,0.9,single_player_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:51:17.215263
50,50,True,0.2,0.9,single_player_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:51:19.911196
50,50,True,0.2,0.9,single_player_shift_all_teams,crossover_swap_whole_position,roulette_selection,0.2457807219155049,2025-05-17 11:51:28.769938
50,50,True,0.2,0.9,single_player_shift_all_teams,crossover_swap_whole_position,tournament_selection,0.10690449676496672,2025-05-17 11:51:31.281453
50,50,True,0.2,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,roulette_selection,0.1895214165917356,2025-05-17 11:51:39.654392
50,50,True,0.2,0.9,single_player_shift_all_teams,crossover_swap_extreme_player,tournament_selection,0.1895214165917356,2025-05-17 11:51:42.918819
50,50,True,0.2,0.9,full_position_swap_2teams,crossover_swap_whole_position,roulette_selection,0.16659862556700822,2025-05-17 11:51:51.980341
50,50,True,0.2,0.9,full_position_swap_2teams,crossover_swap_whole_position,tournament_selection,0.05714285714285552,2025-05-17 11:51:54.497548
50,50,True,0.2,0.9,full_position_swap_2teams,crossover_swap_extreme_player,roulette_selection,0.05714285714285552,2025-05-17 11:52:03.316481
50,50,True,0.2,0.9,full_position_swap_2teams,crossover_swap_extreme_player,tournament_selection,0.05714285714285552,2025-05-17 11:52:05.874593
